11	Dementia, familial Danish		Amyloidosis	Diseases of the Circulatory System	Central Nervous System (CNS)	ADan Amyloidosis
12	Cerebral Amyloid Angiopathy, APP-related		Amyloidosis	Diseases of the Circulatory System	Central Nervous System (CNS)	
13	Down Syndrome	A chromosome disorder associated either with an extra chromosome 21 or an effective trisomy for chromosome 21. Clinical manifestations include hypotonia, short stature, brachycephaly, upslanting palpebral fissures, epicanthus, Brushfield spots on the iris, protruding tongue, small ears, short, broad hands, fifth finger clinodactyly, Simian crease, and moderate to severe intellectual disability. Cardiac and gastrointestinal malformations, a marked increase in the incidence of leukemia, and the early onset of Alzheimer disease are also associated with this condition. Pathologic features include the development of neurofibrillary tangles in neurons and the deposition of amyloid beta-protein, similar to the pathology of Alzheimer disease.	Amyloidosis	Chromosomal Abnormalities	Central Nervous System (CNS)	
14	Amyotrophic Lateral Sclerosis 1	A degenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, fasciculation, hyperreflexia, dysarthria, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous astrocytes and atrophy of anterior spinal nerve roots and corticospinal tracts.	Amyloidosis	Diseases of the Nervous System	Central Nervous System (CNS)	
15	Prolactinoma	A pituitary adenoma which secretes prolactin, leading to hyperprolactinemia. Clinical manifestations include amenorrhea; galactorrhea; impotence; headache; visual disturbances; and cerebrospinal fluid rhinorrhea.	Amyloidosis	Neoplasms	Pituitary Gland	
16	Localized insulin-derived Amyloidosis		Amyloidosis	Amyloidosis	Insulin injection site	AIns Amyloidosis
17	Apolipoprotein A-I associated Amyloidosis		Amyloidosis	Amyloidosis	Heart,  Liver,  Skin, Kidney, Intestine, Larynx, Uterus, Ovary Lymph Node, Pelvic Lymph Node	AApoAI Amyloidosis
18	Meretoja Syndrome		Amyloidosis	Amyloidosis	Central Nervous System (CNS), Peripheral Nervous System (PNS), Eye, Skin, Smooth Muscles, Skeletal Muscles, Heart, Kidney	AGel Amyloidosis
19	Hereditary fibrinogen A alpha-chain Amyloidosis		Amyloidosis	Amyloidosis	Kidney, Liver, Heart, Spleen	AFib Amyloidosis
20	Hereditary lysozyme Amyloidosis		Amyloidosis	Amyloidosis	Liver, Kidney, Gastrointestinal Tract, Spleen, Lymph Node, Skin, Lachrymal Gland, Salivary Gland, Heart	ALys Amyloidosis
21	Thyroid Cancer, Medullary	A neuroendocrine carcinoma that originates in the c-cells of the thyroid gland; about 10-20% of cases are familial. It occurs sporadically or is associated with multiple endocrine neoplasia syndromes. Germline and somatic mutations in ret and ntrk1 genes have been identified.	Amyloidosis	Neoplasms	C-cell thyroid tumors 	
22	Apolipoprotein A-II associated Amyloidosis		Amyloidosis	Amyloidosis	Kidney	AApoAII Amyloidosis
23	AH Amyloidosis		Amyloidosis	Amyloidosis	Kidney, Lung, Eye (orbit), Heart	AH Amyloidosis
24	AHL Amyloidosis		Amyloidosis	Amyloidosis	Lung, Kidney, Heart	AHL Amyloidosis
25	Apolipoprotein C-II associated Amyloidosis		Amyloidosis	Amyloidosis	Kidney	AApoCII Amyloidosis
26	Apolipoprotein C-III associated Amyloidosis		Amyloidosis	Amyloidosis	Kidney, Spleen, Salivary Gland, Intestine, Heart	AApoCIII Amyloidosis
27	Leukocyte chemotactic factor 2 Amyloidosis		Amyloidosis	Amyloidosis	Liver, Kidney, Prostate, Parathyroid Gland, Lung, Pancreas, Small Intestine	ALECT2 Amyloidosis
28	Apolipoprotein A-IV associated Amyloidosis		Amyloidosis	Amyloidosis	Kidney, Heart, Intestine, Lung, Skin	AApoAIV Amyloidosis
29	AA Amyloidosis		Amyloidosis	Amyloidosis	Kidney, Liver, Spleen, Heart, Gastrointestinal Tract, Lung, Adrenal Gland	AA Amyloidosis
30	Wild-type transthyretin-related Amyloidosis		Amyloidosis	Amyloidosis	Heart, Lung	ATTRwt Amyloidosis
31	Amyloidosis, Hereditary, Transthyretin-Related	Hereditary disorder characterized by amyloid deposits in the extracellular matrix of different tissues. Patients present polyneuropathy; carpal tunnel syndrome, autonomic insufficiency, cardiomyopathy, and gastrointestinal symptoms. A dominant mutation (V30M) in the TTR gene has been identified. 	Amyloidosis	Amyloidosis	Peripheral Nervous System (PNS), Kidney, Autonomic Nervous System (ANS), Eye, Gastrointestinal Tract, Heart	ATTRv Amyloidosis
32	Gout	Metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of uric acid calculi.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Liver, Gastrointestinal Tract	
33	Beta-2-microglobulin-related Amyloidosis		Amyloidosis	Amyloidosis	Musculoskeletal system, Gastrointestinal Tract, Heart	Aß2M Amyloidosis
34	Lewy Body Disease	A neurodegenerative disease characterized by dementia, mild parkinsonism, and fluctuations in attention and alertness. The neuropsychiatric manifestations tend to precede the onset of bradykinesia, muscle rigidity, and other extrapyramidal signs. Delusions and visual hallucinations are relatively frequent in this condition. Histologic examination reveals lewy bodies in the cerebral cortex and brain stem. Senile plaques and other pathologic features characteristic of Alzheimer disease may also be present.	Amyloidosis	Diseases of the Nervous System	Central Nervous System (CNS)	
35	Calcifying Epithelial Odontogenic Tumor	A rare slow growing, locally invasive odontogenic tumor. It most often grows intraosseously in the mandible and less frequently in the maxilla, and gingiva. It is characterized by the presence of a fibrous stroma, epithelial cells with abundant eosinophilic cytoplasm, and amyloid material which is often calcified.	Amyloidosis	Neoplasms	Mandible, Maxilla, Gingiva	
36	Variably Protease-Sensitive Prionopathy		Amyloidosis	Certain Infectious and Parasitic Diseases	Central Nervous System (CNS)	
37	Isolated Atrial Amyloidosis		Amyloidosis	Amyloidosis	Heart (Cardiac atria)	
38	Lattice corneal dystrophy type 1	A hereditary autosomal dominant form of corneal dystrophy with significant phenotypic variability. It is characterized by polymorphic geographic deposits at Bowman's membrane, lattice corneal dystrophy, recurrent corneal ulceration, and mild progressive visual impairment. Mutations in the TGBFI gene have been identified.	Amyloidosis	Diseases of the Eye and Adnexa	Eye	
39	Insomnia, Fatal Familial	An autosomal dominant disorder characterized by degeneration of the thalamus and progressive insomnia. It is caused by a mutation in the prion protein (prions).	Amyloidosis	Certain Infectious and Parasitic Diseases	Central Nervous System (CNS)	
40	Medin Amyloidosis		Amyloidosis	Amyloidosis	Thoracic aorta	AMed Amyloidosis
41	Familial Mediterranean Fever	A group of hereditary autoinflammation diseases, characterized by recurrent fever, abdominal pain, headache, rash, pleurisy; and arthritis. Orchitis; benign meningitis; and amyloidosis may also occur. Homozygous or compound heterozygous mutations in marenostrin gene result in autosomal recessive transmission; simple heterozygous, autosomal dominant form of the disease.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney	
42	Amyloidosis, Primary Cutaneous	An autosomal dominant type of familial amyloidosis that is characterized by pruritis and skin scratching and histologically by the finding of deposits of amyloid staining on keratinous debris in the papillary dermis. Mutations in the osmr gene have been identified.	Amyloidosis	Amyloidosis	Skin	
43	Corneal dystrophy, gelatinous drop-like	A hereditary autosomal recessive corneal dystrophy characterized by severe corneal amyloidosis leading to blindness. Clinical manifestations, which appear in the first decade of life, include blurred vision, photophobia, and foreign-body sensation. By the third decade, raised, yellowish-gray, gelatinous masses severely impair visual acuity, and corneal transplantation is required for most patients. Mutations in the TACSTD2 gene have been identified.	Amyloidosis	Diseases of the Eye and Adnexa	Eye	
44	Corneal dystrophy Avellino type	A hereditary autosomal dominant corneal dystrophy that is characterized by the development of small granules on the stromal layer of the cornea which later develop into lesions with a lattice-like appearance. The lesions increase in size with age and may lead to decreased visual acuity. Mutations in the TGFBI  gene have been identified.	Amyloidosis	Diseases of the Eye and Adnexa	Eye	
45	Waldenstrom Macroglobulinemia	A lymphoproliferative disorder characterized by pleomorphic B-lymphocytes including plasma cells, with increased levels of monoclonal serum immunoglobulin M. There is lymphoplasmacytic cells infiltration into bone marrow and often other tissues, also known as lymphoplasmacytic lymphoma. Clinical features include anemia; hemorrhages; and hyperviscosity.	Clinical conditions associated with amyloidosis	Neoplasms	Kidney, Blood Vessel, Liver	
46	Lymphoma, Non-Hodgkin	Any of a group of malignant tumors of lymphoid tissue that differ from Hodgkin disease, being more heterogeneous with respect to malignant cell lineage, clinical course, prognosis, and therapy. The only common feature among these tumors is the absence of giant Reed-Sternberg cells, a characteristic of Hodgkin's disease.	Clinical conditions associated with amyloidosis	Neoplasms	Heart, Kidney, Liver, Bone Marrow, Lymph Node, Spleen	
47	Carcinoma, Basal Cell	A malignant skin neoplasm that seldom metastasizes but has potentialities for local invasion and destruction. Clinically it is divided into types: nodular, cicatricial, morphaic, and erythematoid (pagetoid). They develop on hair-bearing skin, most commonly on sun-exposed areas. Approximately 85% are found on the head and neck area and the remaining 15% on the trunk and limbs.	Clinical conditions associated with amyloidosis	Neoplasms	Skin	
48	Keratosis, Seborrheic	Benign eccrine poromas that present as multiple oval, brown-to-black plaques, located mostly on the chest and back. the age of onset is usually in the fourth or fifth decade.	Clinical conditions associated with amyloidosis	Diseases of the Skin and Subcutaneous Tissue	Skin	
49	Cryopyrin-Associated Periodic Syndromes	A group of rare autosomal dominant diseases, commonly characterized by atypical urticaria (hives) with systemic symptoms that develop into end-organ damage. The atypical hives do not involve T-cell or autoantibody. Cryopyrin-associated periodic syndrome includes three previously distinct disorders: Familial cold autoinflammatory syndrome; Muckle-Wells Syndrome; and CINCA Syndrome, that are now considered to represent a disease continuum, all caused by NLRP3  protein mutations.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney	
50	Chronic recurrent multifocal osteomyelitis	A type of osteomyelitis that occurs in children and is characterized by inflammation of the bones, especially with lesions at the metaphyses of the long bones; pain, and joint swelling. Patients may or may not present with fever. This disorder may occur alone or together with psoriasis or Inflammatory Bowel Disease; may also occur with Majeed Syndrome.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Liver	
51	Arthritis, Reumatoid	A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney	
52	Inflammatory Bowel Diseases	Chronic, non-specific inflammation of the gastrointestinal tract. Etiology may be genetic or environmental. This term includes Crohn disease and Ulcerative colitis.	Clinical conditions associated with amyloidosis	Diseases of the Digestive System	Liver, Gastrointestinal Tract	
53	Carcinoma, Renal Cell	A heterogeneous group of sporadic or hereditary carcinoma derived from cells of the kidneys. There are several subtypes including the clear cells, the papillary, the chromophobe, the collecting duct, the spindle cells (sarcomatoid), or mixed cell-type carcinoma.	Clinical conditions associated with amyloidosis	Neoplasms	Kidney	
54	Spondylitis, Ankylosing	A chronic inflammatory condition affecting the axial joints, such as the sacroiliac joint and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ankylosis) with inflammation at tendon insertions.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Liver, Adrenal Gland	
55	Multiple Endocrine Neoplasia Type 2a	A form of multiple endocrine neoplasia characterized by the presence of medullary carcinoma (carcinoma, medullary) of the thyroid gland, and usually with the co-occurrence of pheochromocytoma, producing calcitonin and adrenaline, respectively. Less frequently, it can occur with hyperplasia or adenoma of the parathyroid glands. This disease is due to gain-of-function mutations of the MEN2 gene on chromosome 10(Locus: 10q11.2), also known as the ret proto-oncogene that encodes a receptor protein-tyrosine kinase. It is an autosomal dominant inherited disease.	Clinical conditions associated with amyloidosis	Endocrine, Nutritional and Metabolic Diseases	Skin	
56	Schnitzler Syndrome	An extremely rare condition manifested as monoclonal immunoglobulin M dysproteinemia without features of lymphoproliferative disease, but with chronic urticaria, fever of unknown origin, disabling bone pain, hyperostosis, and increased erythrocyte sedimentation rate.	Clinical conditions associated with amyloidosis	Other	Gastrointestinal Tract	
57	Bowen's Disease	A malignant skin neoplasm that seldom metastasizes but has potentialities for local invasion and destruction. Clinically it is divided into types: nodular, cicatricial, morphaic, and erythematoid (pagetoid). They develop on hair-bearing skin, most commonly on sun-exposed areas. Approximately 85% are found on the head and neck area and the remaining 15% on the trunk and limbs.	Clinical conditions associated with amyloidosis	Other	Skin	
58	Mycosis Fungoides	A chronic, malignant T-cell lymphoma of the skin. In the late stages, the lymph nodes and viscera are affected.	Clinical conditions associated with amyloidosis	Neoplasms	Skin	
59	Agammaglobulinemia	An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.	Clinical conditions associated with amyloidosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Kidney, Gastrointestinal Tract, Spleen, Liver	
60	Castleman Disease	Large benign, hyperplastic lymph nodes. The more common hyaline vascular subtype is characterized by small hyaline vascular follicles and interfollicular capillary proliferations. Plasma cells are often present and represent another subtype with the plasma cells containing IgM and immunoglobulin A.	Clinical conditions associated with amyloidosis	Neoplasms	Liver, Lymph Node, Spleen, Kidney, Thyroid Gland, Heart	
61	Bronchiectasis 	Persistent abnormal dilatation of the bronchi.	Clinical conditions associated with amyloidosis	Diseases of the Respiratory System	Larynx, Lung, Kidney, Gastrointestinal Tract	
62	Cystic Fibrosis	An autosomal recessive genetic disease of the exocrine glands. It is caused by mutations in the gene encoding the cystic fibrosis transmembrane conductance regulator expressed in several organs including the lung, the pancreas, the biliary system, and the sweat glands. Cystic fibrosis is characterized by epithelial secretory dysfunction associated with ductal obstruction resulting in airway obstruction; chronic respiratory infections; pancreatic insufficiency; maldigestion; salt depletion; and heat prostration.	Clinical conditions associated with amyloidosis	Endocrine, Nutritional and Metabolic Diseases	Kidney, Liver, Spleen, Heart, Gastrointestinal Tract, Lung	
63	Enfuvirtide-induced Amyloidosis		Amyloidosis	Amyloidosis	Enfuvirtide injection site	AEnf Amyloidosis
64	Behcet Syndrome	Rare chronic inflammatory disease involving the small blood vessels. It is of unknown etiology and characterized by mucocutaneous ulceration in the mouth and genital region and uveitis with hypopyon. The neuro-ocular form may cause blindness and death. Synovitis; thrombophlebitis; gastrointestinal ulcerations; retinal vasculitis; and optic atrophy may occur as well.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Salivary Gland, Gastrointestinal Tract	
65	Periodic fever, familial, autosomal dominant	An inherited condition characterized by recurrent episodes of fever; onset is typically in early childhood. Fevers usually persist for about three weeks, though they can be longer or shorter, and may not occur again for several weeks or several years. Other symptoms may include abdominal pain; myalgia; arthralgia; skin rash and systemic inflammation; amyloidosis may also occur in some cases. There is often no trigger, but episodes are sometimes preceded by infections, injury, or stress. Germline mutations in the TNFRSFIA gene have been identified.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney	
66	Polyarteritis Nodosa	A form of necrotizing non-granulomatous inflammation occurring primarily in medium-sized arteries, often with microaneurysms. It is characterized by muscle, joint, and abdominal pain resulting from arterial infarction and scarring in affected organs. Polyarteritis nodosa with lung involvement is called Churg-Strauss Syndrome.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Intestine	
67	PrP Systemic Amyloidosis		Amyloidosis	Diseases of the Nervous System	Peripheral Nervous System (PNS), Kidney, Liver, Lung	
68	Mevalonate Kinase Deficiency	Autosomal recessive disorder caused by mutations in the mevalonate kinase gene. Because of the mutations cholesterol biosynthesis is disrupted and mevalonic acid accumulates. It is characterized by a range of symptoms, including dysmorphic facies, psychomotor retardation, cataract, hepatosplenomegaly, cerebellar ataxia, elevated immunoglobulin D, and recurrent febrile crises with fever; lymphadenopathy; arthralgia; edema; and rash.	Clinical conditions associated with amyloidosis	Other	Kidney, Spleen, Liver	
69	Sjogren's Syndrome	Chronic inflammatory and autoimmune disease in which the salivary and lacrimal glands undergo progressive destruction by lymphocytes and plasma cells resulting in decreased production of saliva and tears. The primary form, often called sicca syndrome, involves both keratoconjunctivitis sicca and xerostomia. The secondary form includes, in addition, the presence of a connective tissue disease, usually rheumatoid arthritis.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Lung, Skin, Kidney, Salivary Gland, Soft Tissues, Lachrymal Gland	
70	Lupus Erythematosus, Systemic	A chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes. It is of unknown etiology, but is thought to represent a failure of the regulatory mechanisms of the autoimmune system. The disease is marked by a wide range of system dysfunctions, an elevated erythrocyte sedimentation rate, and the formation of LE cells in the blood or bone marrow.	Clinical conditions associated with amyloidosis	Diseases of the Musculoskeletal System and Connective Tissue	Kidney, Heart, Lung, Bone Marrow, Gastrointestinal Tract, Liver, Spleen, Adrenal Cortex	
71	Limb-girdle muscular dystrophy, type 2B	An autosomal recessive form of limb-girde muscular dystrophy caused by mutations in the DYSF gene and characterized by onset between 15 and 25 years and slow progression, lack of upper limb involvement, increased variation in muscle fiber size, elevated serum creatine kinase, and rarely amyloid deposits in muscle fibers.	Amyloidosis	Diseases of the Nervous System	Skeletal Muscles	
